an 	 ['D1', 'D1', 'D1', 'D1']
early 	 ['D1']
in 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1']
young 	 ['D1', 'D1']
man 	 ['D1', 'D1', 'D3', 'D3', 'D3']
out 	 ['D1', 'D1', 'D1', 'D1', 'D3', 'D3', 'D3']
lodged 	 ['D1']
and 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D2', 'D2', 'D2', 'D1', 'D1', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2']
walked 	 ['D1']
as 	 ['D1']
though 	 ['D1']
bridge 	 ['D1']
avoided 	 ['D1']
his 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1']
under 	 ['D1']
roof 	 ['D1']
fivestoried 	 ['D1']
cupboard 	 ['D1']
provided 	 ['D1']
with 	 ['D1', 'D1']
attendance 	 ['D1']
lived 	 ['D1']
floor 	 ['D1']
every 	 ['D1', 'D3', 'D3']
door 	 ['D1', 'D3', 'D3', 'D3']
stood 	 ['D1']
open 	 ['D1']
each 	 ['D1']
sick 	 ['D1']
frightened 	 ['D1', 'D1']
feeling 	 ['D1', 'D2']
scowl 	 ['D1']
feel 	 ['D1']
ashamed 	 ['D1', 'D2']
hopelessly 	 ['D1']
debt 	 ['D1']
afraid 	 ['D1', 'D1']
not 	 ['D1', 'D1', 'D3', 'D1', 'D3', 'D3', 'D3', 'D3']
cowardly 	 ['D1']
so 	 ['D1', 'D1', 'D2', 'D2', 'D2', 'D2']
completely 	 ['D1', 'D2']
fellows 	 ['D1']
upon 	 ['D1', 'D2', 'D3']
attending 	 ['D1']
importance 	 ['D1']
any 	 ['D1']
But 	 ['D1', 'D1']
payment 	 ['D1']
threats 	 ['D1']
lieâno 	 ['D1']
rather 	 ['D1']
cat 	 ['D1']
street 	 ['D2', 'D2', 'D3', 'D2']
terrible 	 ['D2']
âœI 	 ['D1']
want 	 ['D1']
thing 	 ['D1', 'D2', 'D2']
am 	 ['D1', 'D1', 'D1']
thought 	 ['D1', 'D2', 'D2']
is 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1']
manâs 	 ['D1']
thatâs 	 ['D1']
axiom 	 ['D1']
It 	 ['D1', 'D1', 'D2', 'D2', 'D2']
know 	 ['D1']
most 	 ['D1', 'D1']
Taking 	 ['D1']
word 	 ['D1']
fear 	 ['D1']
much 	 ['D1']
Itâs 	 ['D1', 'D1']
nothing 	 ['D1', 'D1', 'D3']
perhaps 	 ['D1']
this 	 ['D1', 'D3', 'D3', 'D3']
lying 	 ['D1']
together 	 ['D1']
thinking 	 ['D1']
Giantkiller 	 ['D1']
He 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3']
had 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3']
far 	 ['D3']
how 	 ['D3']
from 	 ['D3', 'D3']
capable 	 ['D1']
lodging 	 ['D3']
Is 	 ['D1']
Yes 	 ['D1']
maybe 	 ['D1']
about 	 ['D2', 'D2']
him 	 ['D2', 'D2', 'D2', 'D2']
stench 	 ['D2', 'D2']
who 	 ['D2', 'D2']
are 	 ['D2', 'D2', 'D2']
town 	 ['D2', 'D2', 'D2']
painfully 	 ['D2']
already 	 ['D2']
insufferable 	 ['D2']
which 	 ['D2', 'D2', 'D3', 'D3', 'D3', 'D3']
numerous 	 ['D2']
part 	 ['D2']
whom 	 ['D2', 'D2']
although 	 ['D2']
misery 	 ['D2']
expression 	 ['D2']
disgust 	 ['D2']
gleamed 	 ['D2']
for 	 ['D2', 'D2', 'D2']
above 	 ['D2']
height 	 ['D2']
slim 	 ['D2']
brown 	 ['D2']
into 	 ['D2', 'D2', 'D3', 'D3', 'D3']
deep 	 ['D2']
complete 	 ['D2']
blankness 	 ['D2']
along 	 ['D2']
what 	 ['D2', 'D2']
time 	 ['D2', 'D2', 'D3', 'D2']
would 	 ['D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2']
moments 	 ['D2']
ideas 	 ['D2']
two 	 ['D2']
even 	 ['D2']
accustomed 	 ['D2']
have 	 ['D2', 'D2', 'D2']
seen 	 ['D2', 'D2']
In 	 ['D2']
however 	 ['D2', 'D2', 'D2']
shortcoming 	 ['D2']
created 	 ['D2']
Owing 	 ['D2']
proximity 	 ['D2']
Hay 	 ['D2']
establishments 	 ['D2']
bad 	 ['D2']
trading 	 ['D2']
population 	 ['D2']
crowded 	 ['D2']
types 	 ['D2']
various 	 ['D2']
no 	 ['D2']
figure 	 ['D2']
queer 	 ['D2']
caused 	 ['D2']
faith 	 ['D3']
contempt 	 ['D2']
those 	 ['D3']
daring 	 ['D3']
Now 	 ['D3']
a 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3']
month 	 ['D3']
begun 	 ['D3']
indecision 	 ['D3']
involuntarily 	 ['D3']
come 	 ['D3']
regard 	 ['D3']
still 	 ['D3']
now 	 ['D3', 'D3', 'D3', 'D3']
project 	 ['D3']
step 	 ['D3']
excitement 	 ['D3']
sinking 	 ['D3']
heart 	 ['D3']
on 	 ['D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3']
one 	 ['D3', 'D2', 'D2']
This 	 ['D3', 'D3']
tenements 	 ['D3']
working 	 ['D3']
people 	 ['D3', 'D3']
Germans 	 ['D3']
best 	 ['D3']
could 	 ['D3', 'D3', 'D3']
petty 	 ['D3']
clerks 	 ['D3']
through 	 ['D3', 'D3', 'D3']
courtyards 	 ['D3']
none 	 ['D3']
familiar 	 ['D3']
way 	 ['D3']
these 	 ['D3']
dreaded 	 ['D3']
if 	 ['D3']
pass 	 ['D3']
really 	 ['D3']
storey 	 ['D3']
porters 	 ['D3']
engaged 	 ['D3']
German 	 ['D3', 'D3']
clerk 	 ['D3']
gave 	 ['D3']
faint 	 ['D3']
tin 	 ['D3']
always 	 ['D3']
ring 	 ['D3']
forgotten 	 ['D3']
seemed 	 ['D3']
something 	 ['D3']
clearly 	 ['D3']
before 	 ['D3']
overstrained 	 ['D3']
glittering 	 ['D3']
number 	 ['D3']
stepped 	 ['D3']
silence 	 ['D3']
looking 	 ['D3']
inquiringly 	 ['D3']
She 	 ['D3']
malignant 	 ['D3']
Her 	 ['D3']
somewhat 	 ['D3']
grizzled 	 ['D3']
thickly 	 ['D3']
oil 	 ['D3']
over 	 ['D3']
Round 	 ['D3']
knotted 	 ['D3']
