On 	 ['D1']
hot 	 ['D1']
evening 	 ['D1', 'D1']
July 	 ['D1']
the 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D2', 'D2', 'D2', 'D2', 'D1', 'D1', 'D3', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2', 'D3', 'D2', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D2', 'D2', 'D2', 'D2', 'D2', 'D2']
garret 	 ['D1', 'D1', 'D1']
which 	 ['D1', 'D1', 'D1']
slowly 	 ['D1']
hesitation 	 ['D1']
towards 	 ['D1']
K 	 ['D1']
He 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D2', 'D2']
had 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1']
successfully 	 ['D1']
landlady 	 ['D1', 'D1', 'D1', 'D1', 'D1']
on 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D2']
was 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D1', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3', 'D3']
like 	 ['D1', 'D1', 'D1', 'D3', 'D3']
The 	 ['D1']
who 	 ['D1']
dinners 	 ['D1']
below 	 ['D1']
kitchen 	 ['D1', 'D3']
invariably 	 ['D1']
And 	 ['D1']
passed 	 ['D1']
made 	 ['D1']
This 	 ['D1', 'D1']
abject 	 ['D1']
quite 	 ['D1']
contrary 	 ['D1']
but 	 ['D1', 'D1', 'D1']
for 	 ['D1', 'D1', 'D1', 'D1', 'D1', 'D3', 'D3']
irritable 	 ['D1']
verging 	 ['D1']
become 	 ['D1']
absorbed 	 ['D1']
from 	 ['D1', 'D1']
only 	 ['D1', 'D3']
at 	 ['D1', 'D1']
crushed 	 ['D1']
by 	 ['D1', 'D1', 'D2', 'D2']
poverty 	 ['D1']
position 	 ['D1']
given 	 ['D1']
lost 	 ['D1']
real 	 ['D1']
be 	 ['D1', 'D1', 'D1', 'D2', 'D2', 'D2', 'D2', 'D2']
forced 	 ['D1']
trivial 	 ['D1']
gossip 	 ['D1']
complaints 	 ['D1']
brains 	 ['D1']
creep 	 ['D1']
down 	 ['D1']
heat 	 ['D2']
slip 	 ['D1', 'D1']
unseen 	 ['D1']
bustle 	 ['D2']
scaffolding 	 ['D2']
into 	 ['D1']
bricks 	 ['D2']
dust 	 ['D2']
fears 	 ['D1']
these 	 ['D1', 'D2', 'D2']
triflesâ 	 ['D1']
smile 	 ['D1']
yes 	 ['D1']
hands 	 ['D1']
